subcategory_id,category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,sort_order_subcategory,__match_score
SUB_000023,CAT_00245,Large Animal,Голямо животно,Velika životinja,Velké zvíře,Stort Dyr,Groot dier,Suur Loom,Iso eläin,Grand animal,Großes Tier,Μεγάλο Ζώο,Nagy Állat,Ainmhí Móra,Animale di grandi dimensioni,Liels Dzīvnieks,Didelis Gyvūnas,Annimali Kbir,Duże zwierzę,Animal grande,Animal mare,Veľké zviera,Velika žival,Animal grande,Stort djur,Büyük Hayvan,Крупное животное,Велика тварина,Stort dyr,Stort dyr,,,0.5517241379310345
SUB_000024,CAT_00073,Small Animal,Малко животно,Mala životinja,Malé zvíře,Lille Dyr,Klein dier,Väike Loom,Pieni eläin,Petit animal,Kleines Tier,Μικρό Ζώο,Kis Állat,Ainmhí Beaga,Piccolo animale,Mazs Dzīvnieks,Mažas Gyvūnas,Annimali Żgħar,Małe zwierzę,Pequeno animal,Animal Mic,Malé zviera,Mala žival,Bicho,Litet djur,Küçük Hayvan,Маленькое животное,Дрібна тварина,Lite dyr,Lite dyr,,,0.6896551724137931
SUB_000025,CAT_00015,Cultural Artifact Restorer,Реставратор на културни артефакти,Restaurator kulturnih artefakata,Obnovitel kulturních artefaktů,Restaurator af kulturelle artefakter,Restaurateur van culturele artefacten,Kultuuriobjektide taastaja,Kulttuuriesineiden entisöijä,Restaurateur d'objets culturels,Restaurator von Kulturgütern,Αναστηλωτή πολιτιστικών αντικειμένων,Kulturális műtárgy-restaurátor,Athchóiritheoir Déantán Cultúir,Restauratore di manufatti culturali,Kultūras artefaktu restaurators,Kultūros artefaktų restauratorius,Resturatur tal-Artifatti Kulturali,Restaurator artefaktów kulturowych,Restaurador de Artefatos Culturais,Restaurator de artefacte culturale,Obnoviteľ kultúrnych artefaktov,Restavrator kulturnih artefaktov,Restaurador de artefactos culturales,Kulturell artefaktåterställare,Kültürel Eser Restoratörü,Реставратор культурных артефактов,Реставратор культурних артефактів,Gjenoppretter av kulturgjenstander,Gjenoppretter av kulturgjenstander,,,0.6666666666666666
SUB_000026,CAT_00108,Cultural Event Curation,Куриране на културни събития,Kustos kulturnih događaja,Kurátorství kulturních akcí,Kuration af kulturelle begivenheder,Curatie van culturele evenementen,Kultuuriürituste kureerimine,Kulttuuritapahtumien kuratointi,Commissariat d'événements culturels,Kuratierung kultureller Veranstaltungen,Επιμέλεια Πολιτιστικής Εκδήλωσης,Kulturális rendezvény kurátora,Coimeádaíocht Imeachtaí Cultúrtha,Curatela di eventi culturali,Kultūras pasākumu kurācija,Kultūros renginių kuravimas,Kurazzjoni ta' Avvenimenti Kulturali,Kuratorowanie wydarzeń kulturalnych,Curadoria de Eventos Culturais,Curatarea evenimentelor culturale,Kurátorstvo kultúrnych podujatí,Kuriranje kulturnih dogodkov,Curación de eventos culturales,Kurator för kulturevenemang,Kültürel Etkinlik Küratörlüğü,Курирование культурных мероприятий,Кураторство культурних заходів,Kursering av kulturarrangementer,Kursering av kulturarrangementer,,,0.7368421052631579
SUB_000027,CAT_00557,Indigenous Art Instruction,Инструкции по местно изкуство,Nastava autohtone umjetnosti,Výuka domorodého umění,Indfødt kunstundervisning,Inheemse kunstinstructie,Põlisrahvaste kunstiõpetus,Alkuperäiskansojen taiteen opetus,Enseignement de l'art autochtone,Unterricht in indigener Kunst,Αυτόχθονες Τέχνες,Őslakos művészeti oktatás,Teagasc Ealaín Dúchasacha,Istruzione artistica indigena,Vietējās mākslas instrukcija,Vietinio meno instrukcija,Istruzzjoni tal-Arti Indiġena,Instrukcja sztuki rdzennej,Instrução de Arte Indígena,Instruire de artă indigenă,Inštruktáž domorodého umenia,Pouk avtohtone umetnosti,Instrucción de arte indígena,Inhemsk konstinstruktion,Yerli Sanat Eğitimi,Обучение искусству коренных народов,Мистецтво корінних народів,Instruksjon for urfolkskunst,Instruksjon for urfolkskunst,,,0.7317073170731707
SUB_000028,CAT_00173,Mural Restoration,Реставрация на стенописи,Restauracija zidnih slika,Restaurování nástěnné malby,Vægmaleri restaurering,Muurschildering restauratie,Seinamaali restaureerimine,Seinämaalauksen restaurointi,Restauration de peintures murales,Wandgemälderestaurierung,Αποκατάσταση Τοιχογραφίας,Falfestmény restaurálása,Athchóiriú Múrmhaisiú,Restauro murale,Sienas gleznu restaurācija,Sienų restauravimas,Restawr Murali,Restauracja murali,Restauração Mural,Restaurare murală,Reštaurovanie nástenných malieb,Restavriranje stenskih poslikav,Restauración de murales,Mural restaurering,Duvar Resmi Restorasyonu,Реставрация фресок,Реставрація фресок,Veggmaleri restaurering,Veggmaleri restaurering,,,0.7857142857142857
SUB_000029,CAT_00411,Mobile Tinting Service,Мобилен тониращ сервиз,Mobilni servis za nijansiranje,Služba mobilního tónování,Mobil toning service,Mobiele tinting service,Mobiilne toonimisteenus,Mobiili sävytyspalvelu,Service de teinture mobile,Mobiler Tönungsservice,Υπηρεσία χρωματισμού φορητών συσκευών,Mobil színező szolgáltatás,Seirbhís Tinting Soghluaiste,Servizio di colorazione mobile,Mobilais tonēšanas pakalpojums,Mobilioji tonavimo paslauga,Servizz ta' Tinting mobbli,Mobilna usługa przyciemniania szyb,Serviço de tingimento móvel,Serviciu de vopsire mobil,Služba mobilného tónovania,Mobilni servis za niansiranje,Servicio de tintado móvil,Mobil färgningstjänst,Mobil Film Kaplama Hizmeti,Мобильная тонировка,Мобільна служба тонування,Mobilfargingstjeneste,Mobilfargingstjeneste,,,0.8095238095238095
SUB_000030,CAT_00015,Cultural Hair Braider,Културна плитка за коса,Kulturna pletenica kose,Kulturní zaplétání vlasů,Kulturel hårfletter,Culturele Haarvlechter,Kultuurne juuksepunu,Cultural Hair Braider,Tresse de cheveux culturelle,Kultureller Haarflechter,Cultural Hair Braider,Kulturális hajfonó,Braider Gruaige Cultúir,Trecciatrice per capelli culturali,Kultūras matu pinējs,Kultūrinė plaukų pynė,Braider tax-xagħar Kulturali,Zaplatacz do włosów kulturalnych,Trança de cabelo cultural,Impletitor de par cultural,Kultúrny vrkoč vlasov,Cultural Hair Braider,Trenzador de cabello cultural,Kulturell hårflätning,Kültürel Saç Örgüsü,Культурный плетеный инструмент для волос,Культурне плетіння волосся,Kulturell hårflette,Kulturell hårflette,,,0.6470588235294118
SUB_000031,CAT_00350,Patreon Strategy Coach,Patreon стратегически треньор,Patreonov trener strategije,Trenér strategie Patreon,Patreon strategicoach,Patreon Strategie Coach,Patreoni strateegia treener,Patreonin strategiavalmentaja,Coach en stratégie Patreon,Patreon-Strategiecoach,Patreon Strategy Coach,Patreon stratégiai edző,Oiliúnóir do Patreon,Coach di strategia Patreon,Patreona stratēģijas treneris,Patreon strategijos treneris,Kowċ tal-Istrateġija ta' Patreon,Trener strategii Patreon,Treinador de estratégia do Patreon,Antrenor de strategie Patreon,Tréner stratégie Patreon,Patreonov trener strategije,Entrenador de estrategia de Patreon,Patreon strategicoach,Patreon Strateji Koçu,Тренер по стратегии на Patreon,Тренер зі стратегії Patreon,Patreon strategicoach,Patreon strategicoach,,,0.6
SUB_000032,CAT_00242,Subscription Page Designer,Дизайнер на абонаментна страница,Dizajner stranica za pretplatu,Návrhář stránek předplatného,Abonnementssidedesigner,Abonnementspagina-ontwerper,Tellimislehe kujundaja,Tilaussivun suunnittelija,Concepteur de pages d'abonnement,Abonnementseiten-Designer,Σχεδιαστής Σελίδας Συνδρομής,Előfizetés oldaltervező,Dearthóir Leathanach Síntiúis,Progettista di pagine di abbonamento,Abonēšanas lapu noformētājs,Prenumeratos puslapio dizaineris,Disinjatur tal-Paġni tal-Abbonament,Projektant stron subskrypcji,Designer de página de assinatura,Designer de pagini de abonament,Návrhár stránky odberu,Oblikovalec naročniških strani,Diseñador de páginas de suscripción,Prenumerationssidadesigner,Abonelik Sayfası Tasarımcısı,Дизайнер страниц подписки,Дизайнер сторінки підписки,Abonnementssidedesigner,Abonnementssidedesigner,,,0.5306122448979592
SUB_000033,CAT_00364,Returns Manager,Мениджър връщания,Voditelj povrata,Správce vratek,Returchef,Retourmanager,Tagastamishaldur,Palautuspäällikkö,Responsable des retours,Retourenmanager,Υπεύθυνος Επιστροφών,Returns Manager,Bainisteoir Tuairisceáin,Responsabile dei resi,Atgriešanas vadītājs,Grąžinimo vadybininkas,Maniġer tar-Ritornijiet,Menedżer zwrotów,Gerente de Devoluções,Manager de returnări,Manažér vrátenia tovaru,Upravitelj vračil,Gerente de devoluciones,Returansvarig,İade Yöneticisi,Менеджер по возвратам,Менеджер з повернення,Returansvarlig,Returansvarlig,,,0.6470588235294118
SUB_000034,CAT_00081,Virtual Board Secretary,Виртуален секретар на борда,Virtualni tajnik odbora,Tajemník virtuální rady,Virtuel bestyrelsessekretær,Virtuele bestuurssecretaris,Virtuaalse juhatuse sekretär,Virtuaalihallituksen sihteeri,Secrétaire du conseil d'administration virtuel,Virtueller Vorstandssekretär,Γραμματέας εικονικού συμβουλίου,A virtuális tanács titkára,Rúnaí an Bhoird Fíorúil,Segretario del Consiglio Virtuale,Virtuālās padomes sekretārs,Virtualios valdybos sekretorius,Segretarju tal-Bord Virtwali,Sekretarz zarządu wirtualnego,Secretário Virtual do Conselho,Secretarul consiliului virtual,Tajomník virtuálnej rady,Virtualni sekretar odbora,Secretaria de la Junta Virtual,Virtuell styrelsesekreterare,Sanal Yönetim Kurulu Sekreteri,Виртуальный секретарь совета директоров,Віртуальний секретар ради,Virtuell styresekretær,Virtuell styresekretær,,,0.8
SUB_000035,CAT_00022,Freelance Invoicing Assistant,Асистент по фактуриране на свободна практика,Samostalni asistent za fakturiranje,Asistent fakturace na volné noze,Freelance faktureringsassistent,Freelance Facturatie Assistent,Vabakutseline arveldusassistent,Freelance laskutusassistentti,Assistant de facturation indépendant,Freiberuflicher Rechnungsassistent,Ελεύθερος Επαγγελματίας Βοηθός Τιμολογίων,Szabadúszó számlázási asszisztens,Cúntóir Sonrasc Neamhspleách,Assistente alla fatturazione freelance,Ārštata rēķinu izrakstīšanas palīgs,Laisvai samdomas sąskaitų faktūrų išrašymo asistentas,Assistent tal-Fatturazzjoni Freelance,Asystent ds. fakturowania,Assistente de Faturamento Freelancer,Asistent de facturare independent,Asistent fakturácie na voľnej nohe,Samostojni pomočnik pri izdajanju računov,Asistente de facturación independiente,Frilansande faktureringsassistent,Serbest Faturalama Asistanı,Внештатный помощник по выставлению счетов,Незалежний помічник з виставлення рахунків,Frilans faktureringsassistent,Frilans faktureringsassistent,,,0.5106382978723404
SUB_000036,CAT_00170,Proposal Template Consultant,Консултант по шаблони на предложения,Savjetnik za predloške prijedloga,Konzultant šablony návrhu,Forslagsskabelonkonsulent,Adviseur voor voorstelsjablonen,Ettepaneku malli konsultant,Ehdotusmallikonsultti,Modèle de proposition Consultant,Berater für Angebotsvorlagen,Σύμβουλος προτύπων πρότασης,Ajánlati sablon tanácsadó,Comhairleoir Teimpléad Togra,Consulente per modelli di proposta,Piedāvājuma veidņu konsultants,Pasiūlymo šablonų konsultantas,Konsulent Mudell ta' Proposta,Konsultant ds. szablonów ofert,Consultor de Modelo de Proposta,Consultant șablon de propunere,Konzultant šablóny návrhu,Svetovalec za predloge predlogov,Consultor de plantillas de propuestas,Konsult för förslagsmall,Teklif Şablonu Danışmanı,Консультант по шаблонам предложений,Консультант із шаблонів пропозицій,Konsulent for forslagsmal,Konsulent for forslagsmal,,,0.5306122448979592
SUB_000037,CAT_00023,Livestream Sales Host,Домакин на продажби на живо,Domaćin prodaje uživo,Hostitel prodeje živého přenosu,Livestream salgsvært,Livestream Verkoop Host,Otseülekande müügijuht,Suoratoiston myyntiisäntä,Animateur des ventes en direct,Livestream-Verkaufsmoderator,Διοργανωτής πωλήσεων Livestream,Élő közvetítés értékesítési műsorvezetője,Óstach Díolacháin Livestream,Host di vendite in live streaming,Tiešraides pārdošanas vadītājs,Tiesioginės transliacijos pardavimo vedėjas,Ospitanti tal-Bejgħ Livestream,Gospodarz sprzedaży transmisji na żywo,Apresentador de vendas de transmissão ao vivo,Gazdă de vânzări livestream,Hostiteľ predaja naživo,Voditelj prodaje v živo,Presentador de ventas de transmisión en vivo,Livestream-försäljningsvärd,Canlı Yayın Satış Sunucusu,Ведущий прямых трансляций продаж,Хост продажів у прямому ефірі,Livestream salgsvert,Livestream salgsvert,,,0.5454545454545454
