category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,section_id,sort_order_category
CAT_00027,3D Modeling & CAD,3D моделиране и CAD,3D modeliranje & CAD,3D modelování a CAD,3D-modellering og CAD,3D-modellering en CAD,3D modelleerimine ja CAD,3D-mallinnus ja CAD,Modélisation 3D et CAO,3D-Modellierung und CAD,3D Modeling & CAD,3D modellezés és CAD,Samhaltú 3D & CAD,Modellazione 3D e CAD,3D modelēšana un CAD,3D modeliavimas ir CAD,Immudellar 3D u CAD,Modelowanie 3D i CAD,Modelagem 3D e CAD,Modelare 3D și CAD,3D modelovanie a CAD,3D modeliranje & CAD,Modelado 3D y CAD,3D-modellering & CAD,3D Modelleme ve CAD,3D-моделирование и САПР,3D моделювання та CAD,3D-modellering og CAD,3D-modellering og CAD,wrench.svg,SEC_0011,10
CAT_00085,HR & Culture,Човешки ресурси и култура,HR i kultura,HR a kultura,HR & Kultur,HR & Cultuur,HR ja kultuur,HR & kulttuuri,RH et culture,Personalwesen & Kultur,HR & Πολιτισμός,HR és kultúra,AD & Cultúr,Risorse umane e cultura,HR un kultūra,HR ir kultūra,HR u Kultura,HR i kultura,RH e Cultura,HR & Cultură,HR a kultúra,Kadri in kultura,Recursos humanos y cultura,HR & Kultur,İK ve Kültür,HR и культура,HR і культура,HR & Kultur,HR & Kultur,wrench.svg,SEC_0012,10
CAT_00087,Data Services,Услуги за данни,Podatkovne usluge,Datové služby,Datatjenester,Gegevensdiensten,Andmeteenused,Datapalvelut,Services de données,Datendienste,Υπηρεσίες δεδομένων,Adatszolgáltatások,Seirbhísí Sonraí,Servizi dati,Datu pakalpojumi,Duomenų paslaugos,Servizzi tad-Data,Usługi danych,Serviços de dados,Servicii de date,Dátové služby,Podatkovne storitve,Servicios de datos,Datatjänster,Veri Hizmetleri,Службы передачи данных,Служби даних,Datatjenester,Datatjenester,wrench.svg,SEC_0013,10
CAT_00090,Safety,Безопасност,Sigurnost,Bezpečnost,Sikkerhed,Veiligheid,Ohutus,Turvallisuus,Sécurité,Sicherheit,Ασφάλεια,Biztonság,Sábháilteacht,Sicurezza,Drošība,Saugumas,Sigurtà,Bezpieczeństwo,Segurança,Siguranţă,Bezpečnosť,Varnost,Seguridad,Säkerhet,Emniyet,Безопасность,Безпека,Sikkerhet,Sikkerhet,wrench.svg,SEC_0014,10
CAT_00091,Civic Advocacy,Гражданско застъпничество,Građansko zastupanje,Občanská advokacie,Civic Advocacy,Burgerlijke belangenbehartiging,Kodanikukaitse,Kansalaisvaikutus,Défense des droits civiques,Bürgerschaftliches Engagement,Συνηγορία του Πολίτη,Polgári érdekképviselet,Abhcóideacht Shibhialta,Difesa civica,Pilsoniskā aizstāvība,Pilietinis gynimas,Advocacy Ċiviku,Rzecznictwo obywatelskie,Advocacia Cívica,Advocacy civică,Občianska advokácia,Državljansko zagovorništvo,Defensa cívica,Civic Advocacy,Sivil Savunuculuk,Гражданская защита,Громадянська адвокація,Civic Advocacy,Civic Advocacy,wrench.svg,SEC_0015,10
CAT_00098,Special Cleaning,Специално почистване,Posebno čišćenje,Speciální čištění,Særlig rengøring,Speciale reiniging,Spetsiaalne puhastus,Erikoispuhdistus,Nettoyage spécial,Spezialreinigung,Ειδικός Καθαρισμός,Speciális tisztítás,Glanadh Speisialta,Pulizia speciale,Īpaša tīrīšana,Specialus valymas,Tindif Speċjali,Specjalne czyszczenie,Limpeza Especial,Curatenie speciala,Špeciálne čistenie,Posebno čiščenje,Limpieza especial,Specialstädning,Özel Temizlik,Специальная уборка,Спеціальне очищення,Spesiell rengjøring,Spesiell rengjøring,cleaning.svg,SEC_0016,10
CAT_00105,Facility Maintenance,Поддръжка на съоръжения,Održavanje objekata,Údržba zařízení,Anlægs vedligeholdelse,Facilitair onderhoud,Rajatise hooldus,Kiinteistön huolto,Entretien des installations,Gebäudewartung,Συντήρηση Εγκαταστάσεων,Létesítmény karbantartás,Cothabháil Saoráide,Manutenzione delle strutture,Objekta uzturēšana,Įrenginio priežiūra,Manutenzjoni tal-Faċilità,Konserwacja obiektów,Manutenção de instalações,Întreținerea instalației,Údržba zariadenia,Vzdrževanje objektov,Mantenimiento de instalaciones,Anläggningsunderhåll,Tesis Bakımı,Техническое обслуживание объектов,Технічне обслуговування об'єктів,Vedlikehold av anlegg,Vedlikehold av anlegg,wrench.svg,SEC_0017,10
CAT_00108,Cultural Events,Културни събития,Kulturna događanja,Kulturní akce,Kulturelle begivenheder,Culturele evenementen,Kultuuriüritused,Kulttuuritapahtumat,Événements culturels,Kulturveranstaltungen,Πολιτιστικές Εκδηλώσεις,Kulturális események,Imeachtaí Cultúrtha,Eventi culturali,Kultūras pasākumi,Kultūros renginiai,Avvenimenti Kulturali,Wydarzenia kulturalne,Eventos culturais,Evenimente culturale,Kultúrne podujatia,Kulturne prireditve,Eventos culturales,Kulturevenemang,Kültürel Etkinlikler,Культурные мероприятия,Культурні події,Kulturelle begivenheter,Kulturelle begivenheter,wrench.svg,SEC_0018,10
CAT_00110,Conflict Resolution,Разрешаване на конфликти,Rješavanje sukoba,Řešení konfliktů,Konfliktløsning,Conflictbemiddeling,Konfliktide lahendamine,Konfliktinratkaisu,Résolution des conflits,Konfliktlösung,Επίλυση συγκρούσεων,Konfliktusmegoldás,Réiteach Coimhlinte,Risoluzione dei conflitti,Konfliktu risināšana,Konfliktų sprendimas,Riżoluzzjoni ta' Kunflitti,Rozwiązywanie konfliktów,Resolução de Conflitos,Rezolvarea conflictelor,Riešenie konfliktov,Reševanje konfliktov,Resolución de conflictos,Konfliktlösning,Çatışma Çözümü,Разрешение конфликтов,Вирішення конфліктів,Konfliktløsning,Konfliktløsning,wrench.svg,SEC_0019,10
CAT_00113,Identity & Heritage,Идентичност и наследство,Identitet i baština,Identita a dědictví,Identitet og arv,Identiteit & Erfgoed,Identiteet ja pärand,Identiteetti ja perintö,Identité et patrimoine,Identität und Erbe,Ταυτότητα & Κληρονομιά,Identitás és örökség,Féiniúlacht & Oidhreacht,Identità e patrimonio,Identitāte un mantojums,Tapatybė ir paveldas,Identità u Wirt,Tożsamość i dziedzictwo,Identidade e Patrimônio,Identitate și patrimoniu,Identita a dedičstvo,Identiteta in dediščina,Identidad y patrimonio,Identitet & arv,Kimlik ve Miras,Идентичность и наследие,Ідентичність і спадщина,Identitet og arv,Identitet og arv,wrench.svg,SEC_0020,10
CAT_00115,Corporate Oversight,Корпоративен надзор,Korporacijski nadzor,Firemní dohled,Virksomhedsovervågning,Bedrijfstoezicht,Ettevõtte järelevalve,Yrityksen valvonta,Surveillance de l'entreprise,Unternehmensaufsicht,Εταιρική Επίβλεψη,Vállalati felügyelet,Maoirseacht Chorparáideach,Vigilanza aziendale,Korporatīvā uzraudzība,Įmonės priežiūra,Sorveljanza Korporattiva,Nadzór korporacyjny,Supervisão Corporativa,Supravegherea corporativă,Firemný dohľad,Korporacijski nadzor,Supervisión corporativa,Företagsöversyn,Kurumsal Denetim,Корпоративный надзор,Корпоративний нагляд,Bedriftsovervåking,Bedriftsovervåking,wrench.svg,SEC_0021,10
CAT_00118,Acoustic & Soundproofing,Акустична и звукоизолация,Akustika i zvučna izolacija,Akustika a zvuková izolace,Akustisk og lydisolering,Akoestiek en geluidsisolatie,Akustiline ja heliisolatsioon,Akustinen ja äänieristys,Acoustique et insonorisation,Akustik & Schalldämmung,Ακουστική & Ηχομόνωση,Akusztika és hangszigetelés,Fuaimniú & Fuaimdhíonach,Acustica e insonorizzazione,Akustiskā un skaņas izolācija,Akustika ir garso izoliacija,Akustiċi u Ħsejjes,Akustyka i izolacja dźwiękowa,Acústica e Insonorização,Izolație acustică și fonică,Akustická a zvuková izolácia,Akustična in zvočna izolacija,Acústica y aislamiento acústico,Akustisk och ljudisolering,Akustik ve Ses Yalıtımı,Акустика и звукоизоляция,Акустична та звукоізоляція,Akustisk og lydisolering,Akustisk og lydisolering,wrench.svg,SEC_0022,10
CAT_00165,Decorative Finishes,Декоративни покрития,Dekorativni završni slojevi,Dekorativní povrchové úpravy,Dekorative finish,Decoratieve afwerkingen,Dekoratiivne viimistlus,Koristeellinen viimeistely,Finitions décoratives,Dekorative Oberflächen,Διακοσμητικά φινιρίσματα,Dekoratív felületek,Bailchríocha Maisiúla,Finiture decorative,Dekoratīvās apdares,Dekoratyvinė apdaila,Finituri Dekorattivi,Wykończenia dekoracyjne,Acabamentos Decorativos,Finisaje decorative,Dekoratívne povrchové úpravy,Dekorativni zaključki,Acabados decorativos,Dekorativa ytbehandlingar,Dekoratif Kaplamalar,Декоративная отделка,Декоративна обробка,Dekorative finisher,Dekorative finisher,paint-roller.svg,SEC_0023,10
CAT_00169,IT Consulting,ИТ консултации,IT savjetovanje,IT poradenství,IT Rådgivning,IT-advies,IT-konsultatsioonid,IT-konsultointi,Conseil en informatique,IT-Beratung,Συμβουλευτική Πληροφορικής,IT tanácsadás,IT Consulting,Consulenza informatica,IT konsultācijas,IT konsultacijos,Konsulenza tal-IT,Doradztwo informatyczne,Consultoria de TI,Consultanta IT,IT poradenstvo,IT svetovanje,Consultoría de TI,IT-konsult,BT Danışmanlığı,ИТ-консалтинг,ІТ-консалтинг,IT-rådgivning,IT-rådgivning,wrench.svg,SEC_0024,10
CAT_00172,HR Training,Обучение по човешки ресурси,HR obuka,HR školení,HR uddannelse,HR-training,HR koolitus,HR koulutus,Formation RH,HR-Schulungen,Εκπαίδευση HR,HR képzés,Oiliúint AD,Formazione delle risorse umane,HR apmācība,HR mokymai,Taħriġ HR,Szkolenia HR,Treinamento de RH,Training HR,HR školenia,Usposabljanje HR,Capacitación en RR.HH.,HR utbildning,İK Eğitimi,Обучение персонала,Навчання персоналу,HR opplæring,HR opplæring,wrench.svg,SEC_0025,10
CAT_00173,Restoration,Възстановяване,Restauracija,Obnovení,Restaurering,Restauratie,Restaureerimine,Restaurointi,Restauration,Wiederherstellung,Αποκατάσταση,Felújítás,Athchóiriú,Restauro,Restaurācija,Restauravimas,Restawr,Przywrócenie,Restauração,Restaurare,Reštaurovanie,Obnova,Restauración,Restaurering,Restorasyon,Реставрация,Реставрація,Restaurering,Restaurering,wrench.svg,SEC_0026,10
CAT_00184,Niche Crafts,Нишови занаяти,Niša obrta,Specializovaná řemesla,Nichehåndværk,Niche-ambachten,Niši käsitöö,Niche-käsityöt,Artisanat de niche,Nischenhandwerk,Niche Crafts,Niche Crafts,Ceardaíocht nideoige,Artigianato di nicchia,Nišas amatniecība,Nišiniai amatai,Snajja Niċċa,Rzemiosło niszowe,Artesanato de nicho,Meșteșuguri de nișă,Špeciálne remeslá,Nišne obrti,Artesanías de nicho,Nischhantverk,Niş El Sanatları,Нишевые ремесла,Нішеві ремесла,Nisjehåndverk,Nisjehåndverk,wrench.svg,SEC_0027,10
CAT_00185,AR/VR & Immersive Media,AR/VR и поглъщащи медии,AR/VR i impresivni mediji,AR/VR a pohlcující média,AR/VR & Immersive Media,AR/VR en immersieve media,AR/VR ja kaasahaarav meedia,AR/VR ja mukaansatempaava media,AR/VR et médias immersifs,AR/VR und immersive Medien,AR/VR & καθηλωτικά μέσα,AR/VR és magával ragadó média,AR/VR & Meán Tumoideachais,AR/VR e media immersivi,AR/VR un ieskaujošie mediji,AR/VR ir įtraukianti medija,AR/VR & Immersive Media,AR/VR i media immersyjne,RA/RV e mídia imersiva,AR/VR și medii imersive,AR/VR a pohlcujúce médiá,AR/VR in poglobljeni mediji,AR/VR y medios inmersivos,AR/VR & Immersive Media,AR/VR ve Sürükleyici Medya,AR/VR и иммерсивные медиа,AR/VR і захоплюючі медіа,AR/VR og Immersive Media,AR/VR og Immersive Media,wrench.svg,SEC_0028,10
CAT_00190,Audio Production,Аудио продукция,Audio produkcija,Audio produkce,Lydproduktion,Audioproductie,Heli tootmine,Äänentuotanto,Production audio,Audioproduktion,Παραγωγή ήχου,Hanggyártás,Léiriú Fuaime,Produzione audio,Audio ražošana,Garso gamyba,Produzzjoni Awdjo,Produkcja dźwięku,Produção de Áudio,Productie audio,Audio produkcia,Avdio produkcija,Producción de audio,Ljudproduktion,Ses Prodüksiyonu,Аудиопродукция,Виробництво аудіо,Lydproduksjon,Lydproduksjon,wrench.svg,SEC_0029,10
CAT_00191,Genealogy,Генеалогия,Genealogija,Genealogie,Slægtsforskning,Genealogie,Genealoogia,Sukututkimus,Généalogie,Genealogie,Γενεαλογία,Genealógia,Ginealais,Genealogia,Ģenealoģija,Genealogija,Ġenealoġija,Genealogia,Genealogia,Genealogie,Genealógia,Genealogija,Genealogía,Genealogi,Soyağacı,Генеалогия,Генеалогія,Slektsforskning,Slektsforskning,wrench.svg,SEC_0030,10
CAT_00194,Compliance & Governance,Съответствие и управление,Sukladnost i upravljanje,Compliance & Governance,Compliance & Governance,Naleving en bestuur,Vastavus ja juhtimine,Vaatimustenmukaisuus ja hallinto,Conformité et gouvernance,Compliance und Governance,Συμμόρφωση & Διακυβέρνηση,Megfelelés és irányítás,Comhlíonadh & Rialachas,Conformità e governance,Atbilstība un pārvaldība,Atitiktis ir valdymas,Konformità u Governanza,Zgodność i zarządzanie,Conformidade e Governança,Conformitate și guvernare,Súlad a riadenie,Skladnost in upravljanje,Cumplimiento y gobernanza,Compliance & Governance,Uyumluluk ve Yönetişim,Соблюдение требований и управление,Відповідність та управління,Overholdelse og styring,Overholdelse og styring,wrench.svg,SEC_0031,10
CAT_00199,AI & ML,AI & ML,AI & ML,AI a ML,AI & ML,AI en ML,AI ja ML,AI & ML,IA et ML,KI und ML,AI & ML,AI és ML,AI & ML,IA e ML,AI un ML,AI ir ML,AI & ML,Sztuczna inteligencja i uczenie maszynowe,IA e ML,AI și ML,AI a ML,AI & ML,IA y ML,AI & ML,Yapay Zeka ve Makine Öğrenmesi,ИИ и МО,AI & ML,AI & ML,AI & ML,wrench.svg,SEC_0032,10
CAT_00202,Cybersecurity,Киберсигурност,Kibernetička sigurnost,Kybernetická bezpečnost,Cybersikkerhed,Cyberbeveiliging,Küberturvalisus,Kyberturvallisuus,Cybersécurité,Cybersicherheit,Κυβερνοασφάλεια,Kiberbiztonság,Cibearshlándáil,Sicurezza informatica,Kiberdrošība,Kibernetinis saugumas,Ċibersigurtà,Cyberbezpieczeństwo,Cibersegurança,securitate cibernetică,Kybernetická bezpečnosť,Kibernetska varnost,Ciberseguridad,Cybersäkerhet,Siber güvenlik,Кибербезопасность,Кібербезпека,Cybersikkerhet,Cybersikkerhet,wrench.svg,SEC_0033,10
CAT_00205,AI Services,AI услуги,AI usluge,Služby AI,AI-tjenester,AI-diensten,AI teenused,AI-palvelut,Services d'IA,KI-Dienste,Υπηρεσίες AI,AI szolgáltatások,Seirbhísí AI,Servizi di intelligenza artificiale,AI pakalpojumi,AI paslaugos,Servizzi AI,Usługi AI,Serviços de IA,Servicii AI,Služby AI,Storitve AI,Servicios de IA,AI-tjänster,Yapay Zeka Hizmetleri,Услуги ИИ,Послуги ШІ,AI-tjenester,AI-tjenester,wrench.svg,SEC_0034,10
CAT_00218,Content Services,Услуги за съдържание,Usluge sadržaja,Obsahové služby,Indholdstjenester,Inhoudsdiensten,Sisuteenused,Sisältöpalvelut,Services de contenu,Inhaltsdienste,Υπηρεσίες Περιεχομένου,Tartalomszolgáltatások,Seirbhísí Ábhar,Servizi di contenuto,Satura pakalpojumi,Turinio paslaugos,Servizzi ta' Kontenut,Usługi treści,Serviços de conteúdo,Servicii de conținut,Služby obsahu,Vsebinske storitve,Servicios de contenido,Innehållstjänster,İçerik Hizmetleri,Контент-услуги,Контентні послуги,Innholdstjenester,Innholdstjenester,wrench.svg,SEC_0035,10
CAT_00222,Business Risk,Бизнес риск,Poslovni rizik,Podnikatelské riziko,Forretningsrisiko,Bedrijfsrisico,Äririsk,Liiketoiminnan riski,Risque commercial,Geschäftsrisiko,Επιχειρηματικός κίνδυνος,Üzleti kockázat,Riosca Gnó,Rischio aziendale,Biznesa risks,Verslo rizika,Riskju tan-Negozju,Ryzyko biznesowe,Risco Empresarial,Risc de afaceri,Podnikateľské riziko,Poslovno tveganje,Riesgo empresarial,Affärsrisk,İş Riski,Деловой риск,Діловий ризик,Forretningsrisiko,Forretningsrisiko,wrench.svg,SEC_0036,10
CAT_00225,Cyber Privacy,Кибер поверителност,Cyber privatnost,Kybernetické soukromí,Cyberprivatliv,Cyberprivacy,Küberprivaatsus,Kybertietosuoja,Confidentialité sur Internet,Cyber-Datenschutz,Cyber Privacy,Kiberadatvédelem,Príobháideacht Cibear,Privacy informatica,Kiberprivātums,Kibernetinis privatumas,Privatezza Ċibernetika,Prywatność w cyberprzestrzeni,Privacidade cibernética,Confidențialitate cibernetică,Kybernetické súkromie,Kibernetska zasebnost,Privacidad cibernética,Cybersekretess,Siber Gizlilik,Киберконфиденциальность,Кіберконфіденційність,Cyberpersonvern,Cyberpersonvern,wrench.svg,SEC_0037,10
CAT_00230,CrossâBorder Shipping,Трансгранична доставка,Prekogranična dostava,Přeshraniční doprava,Forsendelse på tværs af grænser,Grensoverschrijdende verzending,Piiriülene saatmine,Rajat ylittävä toimitus,Expédition transfrontalière,Grenzüberschreitender Versand,Διασυνοριακή αποστολή,Határon átnyúló szállítás,Loingseoireacht Trasteorann,Spedizione transfrontaliera,Pārrobežu piegāde,Siuntimas per sieną,Tbaħħir CrossâFruntieri,Wysyłka transgraniczna,Envio Transfronteiriço,Livrare transfrontalieră,Cezhraničná doprava,Čezmejno pošiljanje,Envío transfronterizo,Gränsöverskridande frakt,Sınır Ötesi Nakliye,Трансграничные перевозки,Транскордонна доставка,Forsendelse på tvers av landegrensene,Forsendelse på tvers av landegrensene,wrench.svg,SEC_0038,10
CAT_00235,Efficiency Services,Услуги за ефективност,Usluge učinkovitosti,Efektivní služby,Effektivitetstjenester,Efficiëntiediensten,Tõhususe teenused,Tehokkuuspalvelut,Services d'efficacité,Effizienzdienste,Υπηρεσίες αποτελεσματικότητας,Hatékonysági szolgáltatások,Seirbhísí Éifeachtúlachta,Servizi di efficienza,Efektivitātes pakalpojumi,Efektyvumo paslaugos,Servizzi ta' Effiċjenza,Usługi efektywnościowe,Serviços de Eficiência,Servicii de eficientizare,Služby efektívnosti,Storitve učinkovitosti,Servicios de eficiencia,Effektivitetstjänster,Verimlilik Hizmetleri,Эффективность услуг,Послуги підвищення ефективності,Effektivitetstjenester,Effektivitetstjenester,wrench.svg,SEC_0039,10
CAT_00236,Academic Support,Академична подкрепа,Akademska podrška,Akademická podpora,Akademisk støtte,Academische ondersteuning,Akadeemiline tugi,Akateeminen tuki,Soutien scolaire,Akademische Unterstützung,Ακαδημαϊκή Υποστήριξη,Akadémiai támogatás,Tacaíocht Acadúil,Supporto accademico,Akadēmiskais atbalsts,Akademinė parama,Appoġġ Akkademiku,Wsparcie akademickie,Apoio Acadêmico,Suport academic,Akademická podpora,Akademska podpora,Apoyo académico,Akademiskt stöd,Akademik Destek,Академическая поддержка,Академічна підтримка,Akademisk støtte,Akademisk støtte,wrench.svg,SEC_0040,10
CAT_00240,Cultural Arts,Културни изкуства,Kulturna umjetnost,Kulturní umění,Kulturel kunst,Culturele kunsten,Kultuurikunst,Kulttuuritaiteet,Arts culturels,Kulturelle Künste,Πολιτιστικές Τέχνες,Kulturális Művészetek,Ealaíona Cultúrtha,Arti culturali,Kultūras māksla,Kultūros menai,Arti Kulturali,Sztuki kulturalne,Artes Culturais,Arte culturale,Kultúrne umenie,Kulturna umetnost,Artes culturales,Kulturkonst,Kültürel Sanatlar,Культура и искусство,Культурне мистецтво,Kulturell kunst,Kulturell kunst,wrench.svg,SEC_0041,10
CAT_00242,Certification & Testing,Сертифициране и тестване,Certifikacija i testiranje,Certifikace a testování,Certificering og test,Certificering en testen,Sertifitseerimine ja testimine,Sertifiointi ja testaus,Certification et tests,Zertifizierung und Prüfung,Πιστοποίηση & Δοκιμές,Tanúsítás és tesztelés,Deimhniú & Tástáil,Certificazione e test,Sertifikācija un testēšana,Sertifikavimas ir testavimas,Ċertifikazzjoni u Ittestjar,Certyfikacja i testowanie,Certificação e Testes,Certificare și testare,Certifikácia a testovanie,Certificiranje in testiranje,Certificación y pruebas,Certifiering & Testning,Sertifikasyon ve Test,Сертификация и испытания,Сертифікація та тестування,Sertifisering og testing,Sertifisering og testing,wrench.svg,SEC_0042,10
CAT_00247,Academic Support,Академична подкрепа,Akademska podrška,Akademická podpora,Akademisk støtte,Academische ondersteuning,Akadeemiline tugi,Akateeminen tuki,Soutien scolaire,Akademische Unterstützung,Ακαδημαϊκή Υποστήριξη,Akadémiai támogatás,Tacaíocht Acadúil,Supporto accademico,Akadēmiskais atbalsts,Akademinė parama,Appoġġ Akkademiku,Wsparcie akademickie,Apoio Acadêmico,Suport academic,Akademická podpora,Akademska podpora,Apoyo académico,Akademiskt stöd,Akademik Destek,Академическая поддержка,Академічна підтримка,Akademisk støtte,Akademisk støtte,wrench.svg,SEC_0043,10
CAT_00260,Home Safety,Домашна безопасност,Sigurnost doma,Bezpečnost domova,Hjemmesikkerhed,Veiligheid thuis,Kodu ohutus,Kodin turvallisuus,Sécurité à domicile,Sicherheit zu Hause,Ασφάλεια στο σπίτι,Otthoni biztonság,Sábháilteacht Baile,Sicurezza domestica,Mājas drošība,Namų sauga,Sigurtà tad-Dar,Bezpieczeństwo w domu,Segurança em casa,Siguranța acasă,Bezpečnosť domova,Domača varnost,Seguridad en el hogar,Hemsäkerhet,Ev Güvenliği,Безопасность дома,Домашня безпека,Hjemmesikkerhet,Hjemmesikkerhet,house.svg,SEC_0044,10
CAT_00263,Cognitive,Когнитивна,Kognitivni,Poznávací,Kognitiv,Cognitief,Kognitiivne,Kognitiivinen,Cognitif,Kognitiv,Αντίληπτφς,Kognitív,Cognaíoch,Cognitivo,Kognitīvs,Kognityvinis,Konjittivi,Kognitywny,Cognitivo,Cognitiv,Kognitívne,Kognitivni,Cognitivo,Kognitiv,Bilişsel,Когнитивный,пізнавальний,Kognitiv,Kognitiv,wrench.svg,SEC_0045,10
